#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
84,Cecil Williams,MANI,15,28.0,9.8,2.9,7.6,.386,0.9,3.1,.283,3.1,3.7,.821,1.4,3.0,4.4,1.9,0.4,0.3,2.0,2.9,2023
85,Peyton Aldridge,SOC,30,34.0,9.8,3.7,7.1,.519,1.3,3.1,.419,1.1,1.6,.694,2.2,5.4,7.6,2.3,0.7,0.7,0.7,2.7,2023
86,Tibor Pleiss,EFE,16,24.2,9.3,4.2,8.6,.486,0.5,1.7,.296,0.4,0.4,.857,2.1,4.1,6.3,0.7,0.6,0.4,1.1,2.4,2023
87,O.D. Anosike,MANI,28,30.4,9.2,4.2,7.0,.594,0.0,0.0,.000,0.9,2.4,.364,3.5,7.3,10.8,2.3,0.9,0.3,1.8,2.3,2023
88,Saulius Kulvietis,DEM,12,24.8,9.2,2.8,6.3,.434,1.7,4.2,.400,2.0,2.3,.857,0.9,2.8,3.8,2.2,0.3,0.1,1.3,2.2,2023
89,David McCormack,BES,23,21.7,9.1,3.3,5.9,.563,0.0,0.1,.000,2.5,3.3,.750,2.3,5.1,7.4,0.8,1.0,0.4,1.4,2.3,2023
90,Gavin Schilling,TOR,12,25.3,9.1,3.3,7.3,.455,0.0,0.0,.000,2.4,4.2,.580,1.9,4.8,6.7,1.5,0.6,0.7,2.0,3.8,2023
91,Bryant Dunston,EFE,13,26.4,9.1,3.8,6.2,.613,0.1,0.5,.167,1.5,2.5,.594,2.1,3.4,5.5,0.7,0.7,1.0,0.5,2.7,2023
92,Arturas Milaknis,TOF,20,26.6,9.0,2.9,7.4,.388,2.2,5.8,.374,1.2,1.3,.885,0.2,1.3,1.5,1.0,0.6,0.1,0.6,2.3,2023
93,Erxhan Osmani,DBI,32,22.0,9.0,3.4,6.8,.505,0.5,1.4,.356,1.7,2.3,.740,1.4,3.5,4.8,1.7,0.6,0.5,1.8,2.7,2023
94,Wayne McCullough,DBI,32,20.9,9.0,3.1,6.9,.448,1.2,3.5,.348,1.6,2.1,.735,0.8,2.2,2.9,1.4,1.0,0.4,0.9,2.8,2023
95,Kasey Shepherd,BAHC,9,19.2,8.8,3.4,7.8,.443,0.9,2.1,.421,1.0,1.6,.643,0.8,1.1,1.9,2.3,1.4,0.4,2.4,1.9,2023
96,Evan Bruinsma,MANI,13,23.4,8.8,3.3,6.8,.483,0.7,2.6,.265,1.5,1.7,.864,1.5,2.5,4.0,1.0,0.8,0.3,0.7,2.7,2023
97,Michal Michalak,MANI,12,22.9,8.8,2.8,8.0,.344,0.7,3.0,.222,2.6,3.5,.738,0.9,2.5,3.4,1.3,0.6,0.0,1.6,2.4,2023
98,Suleiman Braimoh,TOF,12,24.1,8.6,3.3,6.8,.494,0.5,2.3,.222,1.4,2.1,.680,1.9,4.3,6.3,1.7,1.5,0.5,2.2,2.4,2023
99,Aaron White,DBI,19,22.5,8.6,2.8,5.5,.505,1.0,2.5,.396,2.0,3.2,.633,1.2,3.3,4.4,0.8,0.8,0.0,0.9,1.8,2023
100,Berk Ugurlu,TOF,29,25.6,8.6,3.5,6.4,.540,1.0,2.2,.444,0.6,0.8,.783,0.8,1.6,2.4,4.7,0.6,0.1,1.3,2.2,2023
101,Akwasi Abeyie Yeboah,DBI,22,21.7,8.5,3.0,6.3,.468,1.2,3.3,.356,1.4,1.8,.795,1.1,2.6,3.7,0.7,1.2,0.2,0.6,2.8,2023
102,Dyshawn Pierre,FEN,24,25.2,8.4,3.1,6.6,.475,1.1,2.8,.382,1.1,1.4,.788,1.5,3.4,4.9,2.4,0.8,0.3,1.1,1.5,2023
103,Tai Webster,SOC,12,19.9,8.3,3.1,7.0,.440,1.1,2.9,.371,1.1,2.0,.542,0.2,1.8,1.9,2.7,0.7,0.0,2.4,2.1,2023
104,Kenan Sipahi,PIN,37,24.2,8.3,3.0,7.4,.404,0.9,3.2,.286,1.4,1.8,.785,0.8,2.5,3.2,4.2,0.9,0.1,1.4,2.4,2023
105,Ismail Cem Ulusoy,SOC,21,23.4,8.2,2.9,8.2,.353,1.1,3.9,.296,1.2,2.0,.619,1.0,1.8,2.7,4.2,1.5,0.0,1.6,2.9,2023
106,Jason Rich,BES,10,29.5,8.1,3.3,7.7,.429,1.0,3.1,.323,0.5,0.8,.625,0.2,2.3,2.5,2.7,0.5,0.2,2.5,2.3,2023
107,Dusan Ristic,GAL,20,17.1,8.1,3.6,6.4,.555,0.7,1.8,.400,0.3,0.5,.667,1.5,3.4,4.9,0.8,0.2,0.4,0.4,2.1,2023
108,Can Korkmaz,DBI,32,16.6,8.1,2.2,5.0,.431,1.3,3.6,.353,2.5,2.8,.898,0.4,1.2,1.6,2.3,0.2,0.0,0.8,1.8,2023
109,Deon Thompson,TOF,11,21.5,7.9,3.0,6.2,.485,0.4,1.1,.333,1.5,1.9,.810,0.8,4.2,5.0,1.7,0.5,0.9,1.3,2.6,2023
110,Olivier Hanlan,GAZ,10,26.3,7.9,2.7,7.3,.370,1.1,4.2,.262,1.4,1.8,.778,0.2,2.6,2.8,2.2,0.6,0.0,1.0,3.2,2023
111,Okben Ulubay,BES,29,20.7,7.8,2.2,5.8,.385,1.5,3.8,.387,1.8,2.1,.839,0.3,1.6,2.0,2.1,0.9,0.1,1.4,2.4,2023
112,Nick Calathes,FEN,20,22.5,7.7,3.2,7.5,.420,1.3,3.8,.329,0.2,0.4,.429,0.6,3.4,3.9,5.8,1.0,0.0,1.8,1.9,2023
