#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
84,Blagota Sekulic,MON,26,19.2,7.1,2.9,5.2,.567,0.1,0.3,.375,1.2,1.8,.638,1.8,2.8,4.6,1.1,0.6,0.3,1.1,2.0,2017
85,Brad Oleson,FCB,32,20.9,7.0,2.4,4.3,.561,1.3,2.7,.482,0.9,1.0,.875,0.6,1.3,1.9,1.6,0.6,0.1,1.1,1.8,2017
86,Carlos Suarez,UNI,38,22.4,6.9,1.9,4.6,.420,0.8,2.4,.333,2.2,2.4,.902,1.3,2.9,4.3,2.4,0.7,0.1,0.9,1.3,2017
87,Jeff Brooks,UNI,38,20.5,6.9,2.9,5.8,.493,0.4,1.4,.278,0.8,0.9,.829,1.4,2.6,4.0,1.0,0.6,0.3,0.9,2.4,2017
88,Andrew Albicy,AND,35,27.0,6.9,2.1,6.8,.307,1.0,3.5,.295,1.7,2.4,.702,0.1,1.4,1.5,6.2,1.5,0.0,2.4,2.5,2017
89,Sasu Salin,GCN,33,18.9,6.8,2.1,6.1,.350,1.6,4.7,.344,0.9,1.2,.795,0.4,1.6,2.0,1.0,0.9,0.0,0.4,1.9,2017
90,Rudy Fernandez,RMB,38,20.9,6.7,2.2,6.3,.347,1.2,4.0,.301,1.2,1.4,.846,0.5,1.6,2.1,2.6,1.0,0.2,1.1,1.4,2017
91,Will Thomas,VAL,43,19.3,6.7,2.5,5.0,.502,0.8,2.0,.398,0.8,0.9,.923,1.3,2.9,4.3,0.7,0.5,0.1,0.6,1.2,2017
92,Rodrigo San Miguel,TEN,35,23.8,6.6,2.0,4.8,.420,1.2,3.0,.406,1.3,1.8,.734,0.3,2.1,2.5,2.5,0.8,0.1,1.7,2.4,2017
93,Tim Abromaitis,TEN,29,18.9,6.6,2.2,5.0,.444,1.0,2.7,.377,1.2,1.4,.875,1.0,2.9,3.9,0.7,0.3,0.4,0.9,2.0,2017
94,Tomas Bellas,ZAR,30,27.5,6.6,2.2,6.1,.368,0.5,2.2,.246,1.6,2.1,.750,0.5,1.4,1.9,5.1,1.1,0.0,1.9,2.9,2017
95,Albert Oliver,GCN,35,18.5,6.5,2.0,5.4,.365,0.8,2.5,.326,1.8,2.0,.899,0.4,1.2,1.5,4.6,0.7,0.0,1.8,1.9,2017
96,Axel Hervelle,BBB,32,25.7,6.5,2.4,6.3,.379,1.0,3.3,.290,0.8,1.0,.774,1.7,3.7,5.4,1.9,0.9,0.3,1.5,2.9,2017
97,Kim Tillie,BASK,37,19.4,6.4,2.4,5.1,.481,0.9,2.2,.398,0.6,0.9,.727,1.1,2.4,3.5,0.6,0.7,0.2,0.9,2.1,2017
98,Richard Hendrix,GCN,31,14.9,6.4,2.6,4.7,.566,0.1,0.3,.333,1.0,1.3,.795,1.6,2.6,4.2,1.0,1.0,0.5,1.0,2.3,2017
99,Adas Juskevicius,ZAR,25,19.2,6.4,2.1,5.2,.411,1.3,3.5,.379,0.8,1.0,.769,0.2,1.2,1.4,1.4,0.3,0.2,1.1,1.8,2017
100,Ian O'Leary,MON,31,19.7,6.4,2.3,4.9,.461,0.5,1.7,.278,1.4,2.2,.627,1.5,2.6,4.1,0.7,0.6,0.2,0.7,2.0,2017
