#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
139,Tekele Cotton,LUD,12,23.7,7.3,2.8,8.1,.340,0.8,3.8,.196,1.1,1.5,.722,1.2,1.1,2.3,1.2,1.3,0.3,1.4,2.5,2022
140,Arturs Zagars,BLB,13,17.6,7.3,1.9,5.7,.338,1.1,3.0,.359,2.4,3.5,.674,0.4,0.8,1.2,2.7,0.6,0.0,1.6,1.7,2022
141,Philipp Herkenhoff,RUL,29,19.4,7.2,2.8,5.2,.547,0.9,2.4,.371,0.7,1.0,.690,1.6,2.6,4.2,1.0,0.7,0.3,0.9,1.5,2022
142,Robin Christen,HAM,36,17.1,7.2,2.4,5.3,.455,1.8,4.2,.420,0.7,0.9,.806,0.5,1.4,1.9,0.7,0.6,0.0,0.8,1.6,2022
143,Thomas Klepeisz,RUL,37,25.2,7.2,2.0,5.2,.380,1.4,4.0,.356,1.8,2.0,.880,0.5,1.8,2.3,3.2,0.8,0.0,1.6,2.5,2022
144,Martins Laksa,GIE,18,25.4,7.1,2.3,5.9,.393,1.6,4.1,.392,0.8,1.0,.833,0.8,1.9,2.7,0.4,0.6,0.1,0.9,2.1,2022
145,Benedikt Turudic,BLB,31,20.1,7.1,3.0,5.1,.582,0.1,0.5,.250,1.0,2.1,.477,2.1,2.9,5.0,1.6,0.6,0.4,2.1,2.7,2022
146,Tyson Ward,TBB,32,17.4,7.0,2.6,5.5,.477,0.5,1.7,.273,1.3,2.0,.625,1.4,2.3,3.7,0.9,0.8,0.3,0.9,2.7,2022
147,Kenneth Ogbe,BRO,32,20.6,6.9,2.3,5.9,.383,0.7,2.5,.259,1.8,2.7,.671,1.2,2.1,3.3,0.8,0.6,0.1,1.1,1.9,2022
148,Abdul-Malik Abu,OLI,11,13.6,6.7,2.6,4.2,.630,0.1,0.3,.333,1.4,2.2,.625,1.5,1.5,3.1,0.5,0.3,0.1,1.7,1.7,2022
