#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,year
78,Mykal Riley,N92,.503,.479,146.5,4.1,20.1,12.1,13.7,17.6,2.9,0.9,18.5,-1.1,1.1,99.5,103.7,-4.2,244.1,13.5,2017
79,Antywane Robinson,PAU,.495,.486,143.4,4.6,17.2,11.1,6.5,6.3,0.9,1.5,21.2,-0.4,1.0,103.1,103.5,-0.4,188.0,13.4,2017
80,Lahaou Konate,LEM,.498,.448,150.2,3.2,12.7,7.8,14.6,10.9,2.7,0.9,16.5,2.0,1.1,106.5,110.5,-4.0,179.9,13.3,2017
81,Ryan Evans,HYT,.445,.432,124.3,7.9,21.0,14.1,9.2,11.6,2.2,1.6,20.9,-1.6,0.9,95.4,104.5,-9.1,202.8,13.3,2017
82,Lance Goulbourne,PORT,.516,.490,136.6,5.9,19.8,13.0,6.2,16.1,1.9,2.9,20.1,-4.2,1.2,98.2,101.8,-3.6,159.9,13.2,2017
83,Giordan Watson,LEM,.533,.484,167.7,1.8,6.4,4.0,23.1,15.8,1.8,0.1,19.1,2.5,1.2,106.8,114.6,-7.8,185.5,13.1,2017
84,Jeremy Leloup,STR,.604,.574,164.0,2.7,11.6,7.2,11.6,15.3,2.2,0.9,15.3,-0.2,1.3,114.4,105.3,9.1,242.9,13.0,2017
85,Ilian Evtimov,CHO,.589,.555,164.0,3.4,12.3,7.9,10.5,13.1,1.1,0.2,19.0,-1.1,1.3,110.3,114.1,-3.8,191.6,13.0,2017
86,Benjamin Dewar,CHO,.596,.558,171.6,3.0,9.4,6.2,11.1,13.9,1.6,1.0,15.9,-0.3,1.3,112.2,113.0,-0.8,131.6,12.5,2017
87,David Noel,CHO,.580,.566,155.5,4.5,15.0,9.8,15.0,18.3,1.4,0.4,16.2,-0.2,1.2,107.1,113.2,-6.2,200.5,12.5,2017
88,Olivier Hanlan,LEM,.548,.507,155.6,2.3,10.7,6.3,14.7,15.3,1.1,0.1,21.1,-1.3,1.2,104.0,115.0,-11.1,154.4,12.4,2017
