#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
170,Xavi Forcada,ROA,23,11.6,2.9,0.9,2.6,.356,0.4,1.7,.256,0.6,0.7,.824,0.3,0.7,1.0,1.2,0.5,0.0,0.8,1.3,2020
171,Hugo Benitez,JLB,19,9.9,2.7,0.9,2.2,.439,0.4,0.9,.471,0.4,0.6,.727,0.1,0.6,0.7,1.9,0.7,0.0,0.4,1.5,2020
172,Yohan Choupas,PAU,17,12.4,2.6,0.8,2.1,.400,0.3,1.1,.278,0.7,0.8,.857,0.1,0.6,0.8,1.1,0.6,0.1,0.8,1.1,2020
173,Thibault Daval-Braquet,PAU,17,7.0,2.4,0.9,1.4,.667,0.2,0.4,.429,0.4,0.6,.545,0.5,0.8,1.2,0.1,0.1,0.2,1.1,1.1,2020
174,Essome Miyem Nwal,STR,10,6.0,2.3,0.8,1.2,.667,0.0,0.0,.000,0.7,1.0,.700,0.3,0.5,0.8,0.1,0.0,0.0,0.3,2.1,2020
175,Thomas Smallwood,PORT,20,6.9,2.3,0.7,2.0,.350,0.4,0.9,.444,0.5,0.5,1.000,0.5,1.3,1.8,0.4,0.3,0.1,0.6,1.4,2020
176,Charles Galliou,LYV,17,8.4,2.3,0.8,2.4,.350,0.6,1.5,.385,0.1,0.2,.250,0.5,0.9,1.4,0.4,0.4,0.1,0.2,0.9,2020
177,Assane N'Doye,CHA,20,8.7,2.3,0.9,1.8,.486,0.1,0.5,.200,0.5,0.6,.750,0.6,1.3,1.8,0.4,0.3,0.2,0.4,1.4,2020
178,Kadri Manroufou,ORL,20,10.7,2.3,0.8,2.7,.296,0.5,2.0,.256,0.2,0.2,.750,0.7,0.9,1.6,0.7,0.4,0.1,0.4,1.2,2020
179,Bangaly Fofana,GRV,18,11.6,2.2,0.9,1.4,.640,0.0,0.1,.000,0.4,0.8,.533,1.4,1.5,2.9,0.6,0.4,0.2,0.8,1.8,2020
