#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,year
163,Gracin Bakumanya,NAS,40,10.4,2.7,1.2,2.6,.471,0.0,0.0,.000,0.3,0.5,.722,1.3,2.0,3.3,0.3,0.3,0.3,0.5,1.8,2017
164,Reggis Onwukamuche,ERI,36,15.9,2.2,0.8,1.8,.453,0.0,0.0,.000,0.6,1.2,.465,1.4,2.3,3.7,0.4,0.2,0.8,1.0,3.2,2017
1,Antonio Blakeney,WCB,32,38.3,32.0,11.0,23.8,.462,2.8,7.9,.354,7.2,8.4,.862,0.8,5.9,6.7,3.9,1.2,0.5,2.9,1.8,2018
2,Christian Wood,DEL,45,33.1,23.3,8.2,15.2,.541,1.2,3.6,.321,5.7,7.2,.796,2.8,7.6,10.4,2.2,1.1,1.8,3.0,2.6,2018
3,"Walt Lemon, Jr.",FWN,40,36.6,22.4,9.0,18.1,.494,1.1,3.4,.313,3.4,4.4,.768,0.7,4.0,4.7,6.1,2.0,0.2,3.2,2.6,2018
4,James Young,DEL,39,33.1,20.7,6.5,15.2,.428,3.1,8.6,.355,4.7,5.7,.813,0.8,4.3,5.1,2.7,1.4,0.4,2.2,1.9,2018
5,Darrun Hilliard,AUS,36,28.7,20.7,7.3,15.3,.475,2.2,5.6,.400,3.9,4.7,.845,0.5,4.1,4.5,3.8,1.1,0.3,3.2,2.0,2018
6,Milton Doyle,LIN,45,35.4,20.5,7.5,18.0,.418,3.3,8.9,.371,2.2,2.8,.778,1.1,5.1,6.2,4.4,1.5,0.5,3.3,2.8,2018
7,Rodney Purvis,LAK,39,38.0,20.5,7.6,17.8,.425,3.1,7.7,.394,2.3,3.0,.778,0.6,3.3,3.9,3.4,1.4,0.2,2.1,1.8,2018
8,R.J. Hunter,RGV,45,30.8,20.4,6.6,15.0,.443,3.7,9.7,.377,3.4,4.3,.803,0.4,3.1,3.5,3.2,1.4,0.5,1.9,2.4,2018
