#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,year
105,Ojars Silins,TBB,.555,.527,172.9,2.9,10.8,7.0,7.3,8.4,1.0,1.3,15.8,0.3,1.2,112.2,116.8,-4.6,132.9,10.3,2017
106,Adam Hess,HAG,.452,.414,119.9,7.4,7.8,7.6,8.9,7.4,2.8,0.9,20.8,-0.2,1.0,98.6,116.3,-17.7,34.5,10.3,2017
107,Thomas Klepeisz,BLB,.569,.475,160.1,2.1,6.7,4.4,21.0,23.2,2.0,0.7,17.3,0.1,1.4,106.4,120.9,-14.5,104.3,9.9,2017
108,Tim Schwartz,BLB,.572,.557,168.9,4.6,9.2,6.9,6.2,10.0,1.0,0.5,13.0,-0.3,1.2,114.8,122.2,-7.4,100.8,9.6,2017
109,Sid Theis,BLB,.557,.524,153.6,5.6,10.2,7.8,7.7,15.1,0.8,1.0,15.8,-2.0,1.2,106.4,122.2,-15.8,86.8,9.5,2017
110,Alvaro Munoz,TUB,.489,.432,146.0,3.4,13.8,8.2,9.2,14.0,1.5,0.6,19.5,-2.1,1.1,95.7,116.8,-21.1,85.0,8.3,2017
111,Maurice Stuckey,OLI,.545,.533,168.2,1.1,12.7,6.8,11.7,18.1,1.7,0.7,16.8,-1.7,1.1,99.0,115.1,-16.0,129.6,8.3,2017
112,Maximilian Ugrai,OLI,.535,.490,143.1,6.1,13.4,9.7,8.1,21.6,1.3,3.5,13.8,-2.8,1.3,99.0,113.1,-14.1,86.0,8.2,2017
113,Bastian Doreth,BAY,.549,.518,160.8,2.2,9.7,6.0,17.3,23.8,1.4,0.0,10.9,2.3,1.2,109.3,116.0,-6.7,126.4,8.1,2017
114,Mathis Moenninghoff,GOE,.541,.506,166.3,2.7,12.8,7.8,8.3,16.4,1.5,0.4,13.4,-1.2,1.2,104.5,113.5,-9.0,136.0,8.0,2017
115,Kenny Frease,SCJ,.469,.484,83.8,7.2,17.8,12.2,8.3,19.9,1.3,2.5,22.5,-6.6,1.1,82.9,110.8,-28.0,62.6,7.9,2017
116,Niklas Geske,RAS,.478,.431,133.3,1.7,8.5,4.9,36.0,26.6,1.4,0.2,17.1,5.0,1.1,96.1,118.4,-22.3,92.4,7.8,2017
117,Leon Williams,GOE,.537,.521,145.5,3.0,6.4,4.7,20.3,25.6,1.8,0.2,15.7,-0.4,1.2,97.5,114.4,-16.9,91.4,7.5,2017
118,Daniel Schmidt,SCJ,.547,.516,141.9,0.5,9.2,4.7,24.0,34.6,1.3,0.0,10.3,2.4,1.3,96.8,116.2,-19.4,66.6,5.0,2017
119,Andreas Obst,GIE,.500,.462,147.7,0.6,9.0,4.6,10.7,19.7,0.4,0.3,19.1,-3.6,1.1,91.1,115.6,-24.5,35.6,5.0,2017
120,Jonas Grof,HAG,.407,.360,132.0,7.1,14.3,10.6,10.2,21.3,1.3,1.7,22.1,-6.3,0.9,76.3,117.5,-41.2,15.1,4.2,2017
121,Nicolai Simon,BLB,.333,.278,117.0,2.6,9.2,5.8,9.5,10.1,1.3,0.0,12.8,1.2,0.7,81.5,121.9,-40.4,19.3,2.2,2017
1,Assem Marei,BAY,.620,.602,121.5,17.9,25.7,21.9,13.1,13.6,2.9,2.3,26.5,-3.1,1.5,120.6,107.0,13.6,319.0,25.7,2018
2,Rasid Mahalbasic,EWE,.670,.647,180.4,9.3,21.8,15.6,22.9,18.2,2.8,1.6,27.4,-2.1,1.5,120.8,113.1,7.7,470.8,24.7,2018
3,Justin Sears,LUD,.581,.538,124.5,13.5,19.3,16.3,14.2,12.0,2.6,6.7,27.0,-2.0,1.4,118.6,98.9,19.7,274.0,24.1,2018
4,Scott Eatherton,BLB,.648,.612,162.4,12.8,26.1,19.4,12.8,16.6,1.5,4.2,24.5,-4.5,1.5,117.5,108.1,9.4,491.6,23.0,2018
5,Dorell Wright,BRO,.677,.632,182.1,3.7,25.3,14.9,12.7,9.5,2.1,1.8,23.4,-0.2,1.6,127.4,105.4,22.0,402.6,22.9,2018
